City,Start Date,End Date,NDVI
"Atlanta, GA",2018-08-13,2018-08-13,0.9907050863839686
"Columbus, OH",2018-08-13,2018-08-13,0.9909542542882264
"Sacramento, CA",2018-08-13,2018-08-13,0.9893046095967293
"Tempe, AZ",2018-08-13,2018-08-13,0.9870105788577348
"Omaha, NE",2018-08-13,2018-08-13,0.9893377204425633
"Mesa, AZ",2018-08-13,2018-08-13,0.9871403616853058
"Minneapolis, MN",2018-08-13,2018-08-13,0.9889011951163411
"Los Angeles, CA",2018-08-27,2018-08-27,0.9861565838800743
"Denver, CO",2018-08-27,2018-08-27,0.9895835723727942
"Washington, DC",2018-08-27,2018-08-27,0.9855522845173255
"El Paso, TX",2018-08-27,2018-08-27,0.9859042160678655
"Colorado Springs, CO",2018-08-27,2018-08-27,0.9906549798324704
"Raleigh, NC",2018-08-27,2018-08-27,0.9927223101258278
"Long Beach, CA",2018-08-27,2018-08-27,0.9867142655421048
"Bakersfield, CA",2018-08-27,2018-08-27,0.9875229075551033
"Tampa, FL",2018-08-27,2018-08-27,0.989668991882354
"New York City, NY",2018-08-27,2018-09-10,0.9852414508350194
"Tempe, AZ",2018-09-10,2018-09-10,0.9871569722890854
"Phoenix, AZ",2018-09-10,2018-09-10,0.9866460999473929
"Mesa, AZ",2018-09-10,2018-09-10,0.9871152574196458
"Albuquerque, NM",2018-09-24,2018-09-24,0.9871048054192215
"New York City, NY",2018-09-24,2018-10-08,0.984584158679354
"San Diego, CA",2018-10-08,2018-10-08,0.9874914744868875
"Las Vegas, NV",2018-10-08,2018-10-08,0.9864957546815276
"Memphis, TN",2018-10-08,2018-10-08,0.9901751088909805
"Sacramento, CA",2018-10-22,2018-10-22,0.9894508714787662
"Phoenix, AZ",2018-10-22,2018-10-22,0.9871304766274989
"Boston, MA",2018-10-22,2018-10-22,0.988083875272423
"Kansas City, MO",2018-10-22,2018-10-22,0.9896129774861038
"Omaha, NE",2018-10-22,2018-10-22,0.9893562807701528
"Minneapolis, MN",2018-10-22,2018-10-22,0.9885036377236247
"Wichita, KS",2018-10-22,2018-10-22,0.9900965071283281
"New York City, NY",2018-10-22,2018-11-05,0.9848017435288057
"Los Angeles, CA",2018-11-05,2018-11-05,0.9865539972670376
"Denver, CO",2018-11-05,2018-11-05,0.9881245214492083
"El Paso, TX",2018-11-05,2018-11-05,0.986464423360303
"Albuquerque, NM",2018-11-05,2018-11-05,0.9868775103241205
"Colorado Springs, CO",2018-11-05,2018-11-05,0.9888126747682691
"Long Beach, CA",2018-11-05,2018-11-05,0.9871543049812317
"Bakersfield, CA",2018-11-05,2018-11-05,0.9870809817221016
"Phoenix, AZ",2018-11-19,2018-11-19,0.9880706218536943
"Seattle, WA",2018-11-19,2018-11-19,0.9890521401539445
"Portland, OR",2018-11-19,2018-11-19,0.9892162838950753
"Mesa, AZ",2018-11-19,2018-11-19,0.9883588058874011
"Tempe, AZ",2018-11-19,2018-11-19,0.9884249679744244
"New York City, NY",2018-11-19,2018-12-03,0.9845001656649401
"Bakersfield, CA",2018-12-03,2018-12-03,0.9876151115167886
"Fresno, CA",2018-12-03,2018-12-03,0.9881104335654527
"New York City, NY",2018-12-03,2018-12-17,0.9845093614421785
"Austin, TX",2018-12-03,2018-12-03,0.9885527030564845
"Houston, TX",2018-12-03,2018-12-03,0.988758591003716
"Denver, CO",2018-12-03,2018-12-03,0.9844357170441072
"New York City, NY",2018-12-17,2018-12-31,0.9833627451444045
"Raleigh, NC",2018-12-17,2018-12-17,0.9905400099232793
"Miami, FL",2018-12-17,2018-12-17,0.9805809461977333
"Virginia Beach, VA",2018-12-17,2018-12-17,0.9907799731008708
"Milwaukee, WI",2018-12-17,2018-12-17,0.9813103957567364
"San Diego, CA",2018-12-17,2018-12-17,0.9861870927270502
"Chicago, IL",2018-12-17,2018-12-17,0.9818013980984688
"Memphis, TN",2018-12-17,2018-12-17,0.9888367825187743
"San Jose, CA",2018-12-31,2018-12-31,0.9888345864601433
"San Francisco, CA",2018-12-31,2018-12-31,0.9851895550382324
"Sacramento, CA",2018-12-31,2018-12-31,0.9892460266128182
"Washington, DC",2019-01-14,2019-01-14,0.9845235093671363
"El Paso, TX",2019-01-14,2019-01-14,0.9857726218178868
"New York City, NY",2019-01-14,2019-01-28,0.9844871221139329
"Tempe, AZ",2019-01-28,2019-01-28,0.9873527607414871
"New York City, NY",2019-01-28,2019-02-11,0.9839649304340128
"Mesa, AZ",2019-01-28,2019-01-28,0.9872782023157924
"Phoenix, AZ",2019-01-28,2019-01-28,0.9869740481954068
"Fresno, CA",2019-02-11,2019-02-11,0.9888149411417544
"Colorado Springs, CO",2019-02-11,2019-02-11,0.9875311274081469
"Bakersfield, CA",2019-02-11,2019-02-11,0.9880428647156805
"San Diego, CA",2019-02-25,2019-02-25,0.9881748103071004
"Washington, DC",2019-02-25,2019-02-25,0.9868811008054763
"Raleigh, NC",2019-02-25,2019-02-25,0.9902080926112831
"Miami, FL",2019-02-25,2019-02-25,0.9835689557367004
"Seattle, WA",2019-02-25,2019-02-25,0.9891528403386474
"New York City, NY",2019-02-25,2019-03-11,0.9829796482808888
"Philadelphia, PA",2019-02-25,2019-02-25,0.985250846715644
"San Jose, CA",2019-03-11,2019-03-11,0.9887377037666738
"San Francisco, CA",2019-03-11,2019-03-11,0.9845544085692381
"Tucson, AZ",2019-03-11,2019-03-11,0.9868301092647016
"Sacramento, CA",2019-03-11,2019-03-11,0.9888372025452554
"Kansas City, MO",2019-03-11,2019-03-11,0.9871831794735044
"Oakland, CA",2019-03-11,2019-03-11,0.9884359897114336
"New York City, NY",2019-03-11,2019-03-25,0.9840392940677702
"Bakersfield, CA",2019-03-25,2019-03-25,0.9881105234380811
"New York City, NY",2019-03-25,2019-04-08,0.9836194250965491
"Long Beach, CA",2019-03-25,2019-03-25,0.9873509907629341
"Colorado Springs, CO",2019-03-25,2019-03-25,0.9872576980851591
"Tampa, FL",2019-03-25,2019-03-25,0.9889702508226037
"Los Angeles, CA",2019-03-25,2019-03-25,0.9869971566367894
"Jacksonville, FL",2019-03-25,2019-03-25,0.9867782385554165
"Denver, CO",2019-03-25,2019-03-25,0.9864983002189547
"San Diego, CA",2019-03-25,2019-03-25,0.9887203434482217
"Phoenix, AZ",2019-04-08,2019-04-08,0.9872046310920268
"Mesa, AZ",2019-04-08,2019-04-08,0.9877012860961258
"Tempe, AZ",2019-04-08,2019-04-08,0.9876483574043959
"New York City, NY",2019-04-08,2019-04-22,0.98479433634202
"Bakersfield, CA",2019-04-22,2019-04-22,0.9875730436760932
"New York City, NY",2019-04-22,2019-05-06,0.9838493496063165
"Charlotte, NC",2019-04-22,2019-04-22,0.9913986008614302
"Houston, TX",2019-04-22,2019-04-22,0.9892899831756949
"Fresno, CA",2019-04-22,2019-04-22,0.9883652525022626
"New York City, NY",2019-05-06,2019-05-20,0.9859737321967259
"Seattle, WA",2019-05-06,2019-05-06,0.9897361011244357
"Portland, OR",2019-05-06,2019-05-06,0.9901742865331471
"Las Vegas, NV",2019-05-06,2019-05-06,0.9863523577805609
"Memphis, TN",2019-05-06,2019-05-06,0.9861637636786327
"Raleigh, NC",2019-05-06,2019-05-06,0.9924683514982462
"New York City, NY",2019-05-20,2019-06-03,0.985901985433884
"Minneapolis, MN",2019-05-20,2019-05-20,0.9885832006111741
"Boston, MA",2019-05-20,2019-05-20,0.9838458705926314
"Denver, CO",2019-06-03,2019-06-03,0.9889369043521583
"Houston, TX",2019-06-03,2019-06-03,0.9880147064104676
"Albuquerque, NM",2019-06-03,2019-06-03,0.9871627788525075
"Colorado Springs, CO",2019-06-03,2019-06-03,0.9872929789125919
"Jacksonville, FL",2019-06-03,2019-06-03,0.9872730902861804
"New York City, NY",2019-06-03,2019-06-17,0.9859305614372715
"Washington, DC",2019-06-03,2019-06-03,0.988902875687927
"El Paso, TX",2019-06-03,2019-06-03,0.9857822341145948
"Tampa, FL",2019-06-03,2019-06-03,0.9865889889188111
"Raleigh, NC",2019-06-03,2019-06-03,0.9928004462271929
"Bakersfield, CA",2019-06-03,2019-06-03,0.9874565443024039
"Mesa, AZ",2019-06-17,2019-06-17,0.9872930385172367
"Tempe, AZ",2019-06-17,2019-06-17,0.9872560782823712
"New York City, NY",2019-06-17,2019-07-01,0.9855784749379382
"Phoenix, AZ",2019-06-17,2019-06-17,0.9867580137215555
"Houston, TX",2019-07-01,2019-07-01,0.9890600899234414
"Dallas, TX",2019-07-01,2019-07-01,0.9876104150898755
"Austin, TX",2019-07-01,2019-07-01,0.9905001353472471
"Kansas City, MO",2019-07-01,2019-07-01,0.9900554697960615
"Fresno, CA",2019-07-01,2019-07-01,0.9882616729009897
"Denver, CO",2019-07-01,2019-07-01,0.9892974756658077
"Bakersfield, CA",2019-07-01,2019-07-01,0.9875159796793014
"Arlington, TX",2019-07-01,2019-07-01,0.9848988947924227
"New York City, NY",2019-07-01,2019-07-15,0.986292215064168
"New York City, NY",2019-07-15,2019-07-29,0.9859752499032766
"Virginia Beach, VA",2019-07-15,2019-07-15,0.9929834557697177
"Raleigh, NC",2019-07-15,2019-07-15,0.9924601502716541
"Milwaukee, WI",2019-07-15,2019-07-15,0.9862082075560465
"Las Vegas, NV",2019-07-15,2019-07-15,0.9862888808129355
"Washington, DC",2019-07-15,2019-07-15,0.9885929403826594
"San Diego, CA",2019-07-15,2019-07-15,0.9877335401251912
"Philadelphia, PA",2019-07-15,2019-07-15,0.9870426245033741
"Chicago, IL",2019-07-15,2019-07-15,0.9856746044242755
"Austin, TX",2019-07-29,2019-07-29,0.9889423651620746
"Boston, MA",2019-07-29,2019-07-29,0.9872105752583593
"Oklahoma City, OK",2019-07-29,2019-07-29,0.9888606085442007
"New York City, NY",2019-07-29,2019-08-12,0.9849905936862342
"San Antonio, TX",2019-07-29,2019-07-29,0.9886498190462589
"Sacramento, CA",2019-07-29,2019-07-29,0.989746579900384
"Kansas City, MO",2019-07-29,2019-07-29,0.990279839374125
"Omaha, NE",2019-07-29,2019-07-29,0.9900782955810428
"Wichita, KS",2019-07-29,2019-07-29,0.9904490625485778
"Houston, TX",2019-08-12,2019-08-12,0.9878666794393212
"Jacksonville, FL",2019-08-12,2019-08-12,0.9866673755459487
"Denver, CO",2019-08-12,2019-08-12,0.9896268299780786
"Washington, DC",2019-08-12,2019-08-12,0.9880886937025934
"El Paso, TX",2019-08-12,2019-08-12,0.9853867704514414
"Albuquerque, NM",2019-08-12,2019-08-12,0.9871586814988405
"Colorado Springs, CO",2019-08-12,2019-08-12,0.9900199365802109
"New York City, NY",2019-08-12,2019-08-26,0.9857059555361047
"Phoenix, AZ",2019-08-26,2019-08-26,0.9863422766793519
"Seattle, WA",2019-08-26,2019-08-26,0.9898754423484206
"Boston, MA",2019-08-26,2019-08-26,0.9878096752800047
"Portland, OR",2019-08-26,2019-08-26,0.9903505211696029
"Mesa, AZ",2019-08-26,2019-08-26,0.9870852956082672
"Tempe, AZ",2019-08-26,2019-08-26,0.9869742889422923
"New York City, NY",2019-08-26,2019-09-09,0.9857745154295117
"Bakersfield, CA",2019-09-09,2019-09-09,0.9874230164568871
"Colorado Springs, CO",2019-09-09,2019-09-09,0.9903659331612289
"Fresno, CA",2019-09-09,2019-09-09,0.9881835323758423
"Albuquerque, NM",2019-09-09,2019-09-09,0.9866709157358855
"Arlington, TX",2019-09-09,2019-09-09,0.9882395090535283
"Charlotte, NC",2019-09-09,2019-09-09,0.9905934254638851
"Austin, TX",2019-09-09,2019-09-09,0.9866330022923648
"Dallas, TX",2019-09-09,2019-09-09,0.9872424234636128
"Houston, TX",2019-09-09,2019-09-09,0.9889677334576845
"Denver, CO",2019-09-09,2019-09-09,0.9899104344658554
"Milwaukee, WI",2019-09-23,2019-09-23,0.9864611311350018
"New York City, NY",2019-09-23,2019-10-07,0.9851989196613431
"Chicago, IL",2019-09-23,2019-09-23,0.985726353013888
"San Diego, CA",2019-09-23,2019-09-23,0.9877395399380475
"Arlington, TX",2019-10-07,2019-10-07,0.9901393530890346
"Minneapolis, MN",2019-10-07,2019-10-07,0.9893292570486665
"Oklahoma City, OK",2019-10-07,2019-10-07,0.9899262143298984
"Phoenix, AZ",2019-10-07,2019-10-07,0.9870437537319958
"Dallas, TX",2019-10-07,2019-10-07,0.9888110575266182
"New York City, NY",2019-10-07,2019-10-21,0.9848659312119707
"Wichita, KS",2019-10-07,2019-10-07,0.9909686436876655
"Kansas City, MO",2019-10-07,2019-10-07,0.9905700744129717
"San Francisco, CA",2019-10-07,2019-10-07,0.9846570649533533
"Tucson, AZ",2019-10-07,2019-10-07,0.9871083865873516
"Austin, TX",2019-10-07,2019-10-07,0.9894354371353984
"San Jose, CA",2019-10-07,2019-10-07,0.9884494943544269
"Mesa, AZ",2019-10-07,2019-10-07,0.9878367562778294
